window,model,precision,recall,f1
20,random_forest,0.8733766233766234,0.8539682539682539,0.8635634028892456
30,random_forest,0.8694690265486725,0.8451612903225807,0.8571428571428571
30,logistic,0.7093206951026856,0.9655913978494624,0.8178506375227687
10,random_forest,0.8397435897435898,0.793939393939394,0.8161993769470405
20,xgboost,0.7082352941176471,0.9555555555555556,0.8135135135135135
30,xgboost,0.7019543973941368,0.9268817204301075,0.798887859128823
10,xgboost,0.6638655462184874,0.9575757575757575,0.7841191066997518
20,logistic,0.6497890295358649,0.9777777777777777,0.7807351077313055
10,logistic,0.5789473684210527,1.0,0.7333333333333333
