window,model,precision,recall,f1
20,random_forest,0.8733766233766234,0.8539682539682539,0.8635634028892456
30,random_forest,0.8694690265486725,0.8451612903225807,0.8571428571428571
30,logistic,0.7093206951026856,0.9655913978494624,0.8178506375227687
