experiment,level,system_dist,precision_dist,recall_dist,f1_dist,system_cent,precision_cent,recall_cent,f1_cent,f1_delta
sensor_noise,0.1,distributed,0.8096590909090909,0.9047619047619048,0.8545727136431784,centralized,0.9055944055944056,0.8222222222222222,0.8618968386023295,-0.007324124959151024
sensor_noise,0.2,distributed,0.8084507042253521,0.9111111111111111,0.8567164179104477,centralized,0.915057915057915,0.7523809523809524,0.8257839721254355,0.030932445785012197
sensor_noise,0.3,distributed,0.8,0.9015873015873016,0.8477611940298507,centralized,0.9299610894941635,0.7587301587301587,0.8356643356643356,0.012096858365515106
missing_values,0.05,distributed,0.8061797752808989,0.9111111111111111,0.8554396423248882,centralized,0.8791946308724832,0.8317460317460318,0.8548123980424144,0.0006272442824738489
missing_values,0.1,distributed,0.8084507042253521,0.9111111111111111,0.8567164179104477,centralized,0.8932384341637011,0.7968253968253968,0.8422818791946308,0.014434538715816903
missing_values,0.2,distributed,0.8142857142857143,0.9047619047619048,0.8571428571428571,centralized,0.8968253968253969,0.7174603174603175,0.7971781305114638,0.059964726631393295
sensor_failure,0.1,distributed,0.7972602739726027,0.9238095238095239,0.8558823529411764,centralized,0.867741935483871,0.8539682539682539,0.8608,-0.004917647058823582
sensor_failure,0.2,distributed,0.8011049723756906,0.9206349206349206,0.8567208271787297,centralized,0.9051094890510949,0.7873015873015873,0.8421052631578947,0.01461556402083497
sensor_failure,0.3,distributed,0.7966573816155988,0.9079365079365079,0.8486646884272997,centralized,0.9761904761904762,0.5206349206349207,0.6790890269151139,0.16957566151218584
node_dropout,0.1,distributed,0.8255813953488372,0.9015873015873016,0.8619119878603946,centralized,0.9727272727272728,0.3396825396825397,0.5035294117647059,0.3583825760956887
node_dropout,0.2,distributed,0.8245614035087719,0.8952380952380953,0.8584474885844748,centralized,1.0,0.03492063492063492,0.06748466257668712,0.7909628260077877
node_dropout,0.3,distributed,0.8197674418604651,0.8952380952380953,0.8558421851289834,centralized,0.0,0.0,0.0,0.8558421851289834
