strategy,precision,recall,f1
Majority,0.8061797752808989,0.9111111111111111,0.8554396423248882
Weighted-F1,0.8061797752808989,0.9111111111111111,0.8554396423248882
Risk-Based,0.601980198019802,0.9650793650793651,0.7414634146341463
